Date,Type,Link
2022-12-20 14:41:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7010876105591021569
2022-12-15 11:56:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002597468022439936
2022-12-15 11:54:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008682633916235776
2022-12-08 13:19:51,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006595821555081216
2022-12-05 17:49:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005413668624470016
2022-12-01 08:28:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7003944588897918976
2022-11-25 15:55:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992827279143776256
2022-11-24 17:02:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001507299135483904
2022-11-19 11:43:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998897642353168384
2022-11-18 15:06:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998022795255312384
2022-11-17 09:34:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998543853515378689
2022-11-12 13:56:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997067016272572416
2022-11-12 03:19:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996812580002422784
2022-11-06 11:31:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6994654790630744064
2022-11-05 14:49:30,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993206850762498049
2022-11-04 14:56:09,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993262605318459392
2022-11-04 12:18:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6994253208579657730
2022-11-04 12:17:26,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993930550184939520
2022-11-03 00:41:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989989699226374144
2022-11-03 00:26:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992837936559837186
2022-11-02 04:31:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993212094124892161
2022-11-01 14:33:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992902945893683200
2022-10-31 07:12:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992738628258971648
2022-10-29 15:10:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988001461565575168
2022-10-29 02:06:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990277502862589952
2022-10-28 14:43:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990280063451635712
2022-10-28 14:39:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991731724598591488
2022-10-27 15:11:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990731358641766400
2022-10-25 15:55:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989954450526208000
2022-10-25 13:19:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990220573788278786
2022-10-23 15:22:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989192369971585025
2022-10-23 15:22:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988816259144421376
2022-10-23 15:22:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985166349656330240
2022-10-21 07:02:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988811181478043648
2022-10-16 04:58:39,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6986616965444300801
2022-10-09 03:35:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984052030495432705?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6984052030495432705%2C6984059653240303616%29
2022-10-09 03:33:49,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6983712282899845120
2022-10-01 15:59:20,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980128466671185920
2022-09-29 13:59:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6975282441565478912?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6975282441565478912%2C6981235606911664128%29
2022-09-27 02:40:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980151630876872704
2022-09-23 12:37:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978692358359949312
2022-09-19 05:20:28,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6975893549179375617
2022-09-19 05:19:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976752248416604160
2022-09-17 12:44:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976835439835983872
2022-09-16 02:58:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6975282441565478912?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6975282441565478912%2C6976365756112400384%29
2022-09-13 08:30:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6975282441565478912
2022-09-11 04:02:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974382395345022976
2022-09-09 09:32:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973826512965804032
2022-09-07 07:27:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973165909297311744
2022-09-07 02:50:12,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6971497832344137728
2022-09-06 23:31:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970775331427225601
2022-09-04 07:25:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969053049180893184
2022-08-29 22:04:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969979608569970688
